microsoft.com,13.77.161.179
live.com,204.79.197.212
msn.com,13.82.28.61
baidu.com,123.125.115.110
wikipedia.org,208.80.153.224
blogspot.com,172.217.12.9
facebook.com,157.240.2.35
youtube.com,172.217.12.14
yahoo.com,72.30.35.10
qq.com,111.161.64.40
taobao.com,140.205.94.189
bing.com,204.79.197.200
sina.com.cn,202.108.33.107
soso.com,118.191.216.57
163.com,123.58.180.8
ask.com,151.101.70.114
adobe.com,193.104.215.58
twitter.com,104.244.42.193
mozilla.com,63.245.208.194
youku.com,106.11.186.1
andysayler.com,138.197.228.157
wmfo.org,23.92.21.128
ifeng.com,210.51.19.63
bbc.co.uk,151.101.192.81
yandex.ru,77.88.55.88
myspace.com,63.135.90.70
goo.ne.jp,153.254.147.65
mail.ru,94.100.180.201
cnet.com,64.30.228.118
go.com,23.236.60.174
4399.com,118.184.184.70
orkut.com,216.239.32.21
skype.com,40.115.34.155
ameblo.jp,72.247.114.130
naver.com,210.89.160.88
flickr.com,69.147.88.7
4shared.com,204.155.146.95
amazon.co.jp,52.119.161.5
linkedin.com,108.174.10.10
dailymotion.com,195.8.215.136
imdb.com,52.94.225.248
aol.com,67.195.231.10
amazon.com,205.251.242.103
hotmail.com,204.79.197.212
wordpress.com,192.0.78.9
360.cn,101.198.193.22
tudou.com,106.11.47.19
yahoo.co.jp,183.79.135.206
craigslist.org,208.82.237.226
weather.com,23.79.192.175
soku.com,106.11.47.20
apple.com,17.172.224.47
hao123.com,220.181.163.1
sohu.com,221.179.177.36
windows.com,40.112.72.205
ebay.com,66.211.181.123
alibaba.com,205.204.101.42
pps.tv,101.227.188.174
renren.com,120.133.2.243
xunlei.com,182.118.18.100
livedoor.jp,203.104.153.16
fc2.com,54.213.36.26
blogger.com,172.217.12.9
answers.com,151.101.0.203
56.com,221.5.34.99
paypal.com,64.4.250.37
rapidshare.com,5.9.19.105
sogou.com,118.191.216.42
tmall.com,140.205.94.193
vkontakte.ru,95.213.4.229
ku6.com,117.50.1.222
rakuten.co.jp,133.237.61.176
photobucket.com,209.17.68.100
about.com,151.101.193.121
7k7k.com,101.200.128.82
mediafire.com,104.19.194.29
daum.net,203.133.167.81
ehow.com,23.227.11.12
2345.com,42.62.30.180
seesaa.net,52.84.216.146
alipay.com,110.75.129.5
softonic.com,35.227.231.218
cnn.com,151.101.1.67
imageshack.us,208.94.3.19
nifty.com,222.158.213.148
mywebsearch.com,74.113.233.48
zynga.com,54.148.147.56
tianya.cn,124.225.65.154
partypoker.com,195.72.134.116
hp.com,15.73.104.147
walmart.com,161.170.230.170
ebay.de,66.211.185.77
hotfile.com,18.207.9.28
sdjjdsaf.com,
megaupload.com,
orkut.com.br,
paipai.com,
jp.msn.com,13.88.15.24
odnoklassniki.ru,217.20.147.1
pconline.com.cn,219.136.245.40
qiyi.com,101.227.188.170
youdao.com,61.135.218.27
kugou.com,14.18.236.182
